"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","Sun Jul 21 01:49:21 UTC 2024","skipped","Sun Jul 21 01:49:21 UTC 2024","","test_backups","",""
"Deploy the charm-under-test.

    Assert on the unit status before any relations/configurations take place.
    ","589269","test_deploy","tests.integration","Sun Jul 21 02:08:08 UTC 2024","passed","Sun Jul 21 02:17:58 UTC 2024","","test_charm","",""
"Build, deploy two units of PostgreSQL and do backup. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","3158860","test_pitr_backup","tests.integration","Sun Jul 21 01:58:12 UTC 2024","broken","Sun Jul 21 02:50:51 UTC 2024","","test_backups_pitr","",""
"","191084","test_invalid_extra_user_roles","tests.integration.new_relations","Sun Jul 21 02:11:49 UTC 2024","passed","Sun Jul 21 02:15:00 UTC 2024","","test_new_relations","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Sun Jul 21 02:03:03 UTC 2024","skipped","Sun Jul 21 02:03:03 UTC 2024","","test_self_healing","",""
"Test that relation data, like connection data, is updated correctly when scaling.","649606","test_relation_data_is_updated_correctly_when_scaling","tests.integration.new_relations","Sun Jul 21 01:58:05 UTC 2024","passed","Sun Jul 21 02:08:54 UTC 2024","","test_new_relations","",""
"Test that the pre-upgrade-check action runs successfully.","2091","test_pre_upgrade_check","tests.integration.ha_tests","Sun Jul 21 01:48:52 UTC 2024","passed","Sun Jul 21 01:48:54 UTC 2024","","test_upgrade","",""
"","34152","test_kill_db_process[postgres]","tests.integration.ha_tests","Sun Jul 21 01:51:01 UTC 2024","passed","Sun Jul 21 01:51:35 UTC 2024","","test_self_healing","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","219378","test_full_cluster_restart[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Sun Jul 21 01:59:10 UTC 2024","broken","Sun Jul 21 02:02:49 UTC 2024","","test_self_healing","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","34269","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","Sun Jul 21 01:58:15 UTC 2024","passed","Sun Jul 21 01:58:49 UTC 2024","","test_self_healing","",""
