"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 01:59:19 UTC 2024","Mon Jun 10 02:08:42 UTC 2024","563424","tests.integration","test_db","","","","test_sentry_db_blocked",""
"broken","Mon Jun 10 01:30:51 UTC 2024","Mon Jun 10 02:21:20 UTC 2024","3029799","tests.integration","test_db_admin","","","","test_landscape_scalable_bundle_db","Deploy Landscape Scalable Bundle to test the 'db-admin' relation."
"passed","Mon Jun 10 01:48:02 UTC 2024","Mon Jun 10 01:48:02 UTC 2024","5","tests.integration","test_charm","","","","test_database_is_up[1]",""
"passed","Mon Jun 10 02:02:37 UTC 2024","Mon Jun 10 02:03:03 UTC 2024","25847","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]",""
"passed","Mon Jun 10 01:42:57 UTC 2024","Mon Jun 10 01:56:28 UTC 2024","811695","tests.integration.new_relations","test_new_relations","","","","test_deploy_charms","Deploy both charms (application and database) to use in the tests."
"failed","Mon Jun 10 01:43:22 UTC 2024","Mon Jun 10 01:45:09 UTC 2024","106545","tests.integration.relations","test_relations","","","","test_modern_endpoint_with_multiple_related_endpoints",""
"passed","Mon Jun 10 01:55:33 UTC 2024","Mon Jun 10 02:12:35 UTC 2024","1022131","tests.integration.ha_tests","test_smoke","","","","test_app_resources_conflicts_v3","Test application deploy in dirty environment with garbage storage from another application."
"passed","Mon Jun 10 02:06:19 UTC 2024","Mon Jun 10 02:06:48 UTC 2024","28214","tests.integration.new_relations","test_new_relations","","","","test_an_application_can_connect_to_multiple_database_clusters","Test that an application can connect to different clusters of the same database."
"passed","Mon Jun 10 01:48:02 UTC 2024","Mon Jun 10 01:48:02 UTC 2024","19","tests.integration","test_charm","","","","test_database_is_up[0]",""
"passed","Mon Jun 10 02:07:41 UTC 2024","Mon Jun 10 02:20:01 UTC 2024","740679","tests.integration.new_relations","test_new_relations","","","","test_relation_data_is_updated_correctly_when_scaling","Test that relation data, like connection data, is updated correctly when scaling."
"skipped","Mon Jun 10 01:51:52 UTC 2024","Mon Jun 10 01:51:52 UTC 2024","0","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_upgrade_from_stable","Test updating from stable channel."
"passed","Mon Jun 10 01:56:28 UTC 2024","Mon Jun 10 01:56:53 UTC 2024","25069","tests.integration.new_relations","test_new_relations","","","","test_no_read_only_endpoint_in_standalone_cluster","Test that there is no read-only endpoint in a standalone cluster."
"passed","Mon Jun 10 02:08:42 UTC 2024","Mon Jun 10 02:11:10 UTC 2024","148525","tests.integration","test_db","","","","test_roles_blocking",""
"passed","Mon Jun 10 01:50:36 UTC 2024","Mon Jun 10 01:50:44 UTC 2024","8528","tests.integration","test_password_rotation","","","","test_no_password_change_on_invalid_password","Test that in general, there is no change when password validation fails."
"skipped","Mon Jun 10 02:03:47 UTC 2024","Mon Jun 10 02:03:47 UTC 2024","0","tests.integration","test_tls","","","","test_restart_machine",""
"passed","Mon Jun 10 01:50:03 UTC 2024","Mon Jun 10 01:50:35 UTC 2024","32274","tests.integration","test_password_rotation","","","","test_empty_password","Test that the password can't be set to an empty string."
"passed","Mon Jun 10 02:13:28 UTC 2024","Mon Jun 10 02:14:06 UTC 2024","37681","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Mon Jun 10 02:23:37 UTC 2024","Mon Jun 10 02:27:24 UTC 2024","227336","tests.integration.new_relations","test_new_relations","","","","test_invalid_extra_user_roles",""
"broken","Mon Jun 10 01:31:47 UTC 2024","Mon Jun 10 01:51:52 UTC 2024","1204968","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_deploy_stable","Simple test to ensure that the PostgreSQL and application charms get deployed."
"passed","Mon Jun 10 01:45:37 UTC 2024","Mon Jun 10 01:50:01 UTC 2024","263579","tests.integration","test_password_rotation","","","","test_password_rotation","Test password rotation action."
"passed","Mon Jun 10 01:48:50 UTC 2024","Mon Jun 10 01:48:52 UTC 2024","2152","tests.integration.ha_tests","test_upgrade","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
